TRINITY_DN70664_c2_g1_i1	L-tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=1 SV=1 E(blastx)=1e-08
TRINITY_DN65304_c0_g1_i1	Retinoic acid receptor RXR-gamma-B OS=Danio rerio OX=7955 GN=rxrgb PE=2 SV=1 E(blastx)=2e-66
TRINITY_DN69925_c0_g1_i3	Huntingtin-interacting protein 1 OS=Mus musculus OX=10090 GN=Hip1 PE=1 SV=2 E(blastx)=4e-15
TRINITY_DN68116_c5_g2_i1	Golgi to ER traffic protein 4 homolog OS=Homo sapiens OX=9606 GN=GET4 PE=1 SV=1 E(blastx)=1e-29
TRINITY_DN70442_c4_g1_i2	GATOR1 complex protein DEPDC5 OS=Homo sapiens OX=9606 GN=DEPDC5 PE=1 SV=2 E(blastx)=1e-56
TRINITY_DN62207_c0_g1_i1	Carboxypeptidase A4 OS=Homo sapiens OX=9606 GN=CPA4 PE=1 SV=2 E(blastx)=1e-72
TRINITY_DN27473_c0_g1_i1	Sodium/potassium/calcium exchanger 5 OS=Mus musculus OX=10090 GN=Slc24a5 PE=2 SV=1 E(blastx)=2e-45
TRINITY_DN67096_c11_g2_i2	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Homo sapiens OX=9606 GN=RET PE=1 SV=3 E(blastx)=8e-84
TRINITY_DN71039_c3_g1_i3	Ras-related protein Rab-14 OS=Dictyostelium discoideum OX=44689 GN=rab14 PE=1 SV=2 E(blastx)=1e-09
TRINITY_DN69466_c6_g2_i3	Exostosin-1a OS=Danio rerio OX=7955 GN=ext1a PE=2 SV=1 E(blastx)=5e-121
TRINITY_DN67465_c3_g3_i2	Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1 E(blastx)=5e-07
TRINITY_DN65925_c3_g1_i1	Cadherin-4 OS=Caenorhabditis elegans OX=6239 GN=cdh-4 PE=1 SV=4 E(blastx)=1e-06
TRINITY_DN72219_c6_g2_i1	Zinc finger FYVE domain-containing protein 21 OS=Rattus norvegicus OX=10116 GN=Zfyve21 PE=3 SV=1 E(blastx)=6e-48
TRINITY_DN71685_c3_g3_i7	Protein-cysteine N-palmitoyltransferase HHAT OS=Homo sapiens OX=9606 GN=HHAT PE=1 SV=1 E(blastx)=1e-53
TRINITY_DN44785_c0_g1_i1	Motor neuron and pancreas homeobox protein 1 OS=Homo sapiens OX=9606 GN=MNX1 PE=1 SV=3 E(blastx)=3e-24
TRINITY_DN69843_c1_g1_i4	Kinesin-like protein KLP1 OS=Chlamydomonas reinhardtii OX=3055 GN=KLP1 PE=2 SV=1 E(blastx)=2e-126
TRINITY_DN68789_c11_g3_i3	Probable ethanolamine kinase OS=Nematostella vectensis OX=45351 GN=etnk PE=3 SV=1 E(blastx)=1e-95
TRINITY_DN66334_c10_g1_i2	TNF receptor-associated factor 6 OS=Cercocebus atys OX=9531 GN=TRAF6 PE=2 SV=1 E(blastx)=5e-21
TRINITY_DN66216_c4_g2_i8	Mitochondrial protein C2orf69 homolog OS=Danio rerio OX=7955 GN=zgc:153521 PE=2 SV=1 E(blastx)=8e-64
TRINITY_DN71965_c2_g1_i4	Tumor necrosis factor receptor superfamily member 16 OS=Gallus gallus OX=9031 GN=NGFR PE=2 SV=1 E(blastx)=3e-07
TRINITY_DN66979_c4_g1_i1	Motile sperm domain-containing protein 2 OS=Mus musculus OX=10090 GN=Mospd2 PE=1 SV=2 E(blastx)=5e-52
TRINITY_DN72207_c1_g1_i15	Coagulation factor V OS=Sus scrofa OX=9823 GN=F5 PE=2 SV=1 E(blastx)=2e-27
TRINITY_DN68867_c3_g1_i4	Pre-mRNA-splicing factor CWC25 homolog OS=Mus musculus OX=10090 GN=Cwc25 PE=2 SV=2 E(blastx)=1e-38
TRINITY_DN69794_c5_g1_i2	Translation initiation factor eIF-2B subunit delta OS=Bos taurus OX=9913 GN=EIF2B4 PE=2 SV=1 E(blastx)=5e-16
TRINITY_DN70624_c1_g1_i1	Leucine-rich repeat-containing protein 63 OS=Mus musculus OX=10090 GN=Lrrc63 PE=2 SV=1 E(blastx)=4e-06
TRINITY_DN68593_c5_g1_i2	Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens OX=9606 GN=ACP5 PE=1 SV=3 E(blastx)=9e-95
TRINITY_DN62588_c3_g1_i1	Acetylcholine receptor subunit alpha-type acr-16 OS=Caenorhabditis elegans OX=6239 GN=acr-16 PE=2 SV=1 E(blastx)=7e-05
