TRINITY_DN66040_c3_g1_i1	Signal transduction mechanisms
TRINITY_DN66037_c1_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66058_c6_g1_i1	Amino acid transport and metabolism
TRINITY_DN66038_c0_g1_i1	Nucleotide transport and metabolism
TRINITY_DN66038_c1_g3_i1	RNA processing and modification
TRINITY_DN66038_c1_g3_i2	RNA processing and modification
TRINITY_DN66028_c1_g1_i1	Signal transduction mechanisms
TRINITY_DN66028_c1_g1_i3	Signal transduction mechanisms
TRINITY_DN66028_c1_g1_i4	Signal transduction mechanisms
TRINITY_DN66028_c1_g1_i8	Signal transduction mechanisms
TRINITY_DN66028_c1_g1_i10	Signal transduction mechanisms
TRINITY_DN66028_c1_g1_i11	Signal transduction mechanisms
TRINITY_DN66013_c0_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66039_c2_g1_i1	Transcription
TRINITY_DN66019_c1_g1_i1	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN66078_c3_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66078_c4_g1_i1	Signal transduction mechanisms
TRINITY_DN66078_c4_g2_i1	Signal transduction mechanisms
TRINITY_DN66078_c4_g3_i1	Signal transduction mechanisms
TRINITY_DN66078_c4_g4_i1	Signal transduction mechanisms
TRINITY_DN66078_c4_g5_i1	Signal transduction mechanisms
TRINITY_DN66020_c0_g1_i1	Translation, ribosomal structure and biogenesis
TRINITY_DN66079_c2_g1_i1	Lipid transport and metabolism
TRINITY_DN66079_c2_g1_i2	Lipid transport and metabolism
TRINITY_DN66079_c2_g1_i3	Lipid transport and metabolism
TRINITY_DN66079_c2_g1_i4	Lipid transport and metabolism
TRINITY_DN66066_c5_g1_i1	Cytoskeleton
TRINITY_DN66003_c1_g1_i1	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN66003_c1_g1_i2	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN66003_c1_g1_i3	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN66064_c2_g3_i2	Transcription
TRINITY_DN66064_c2_g3_i5	Transcription
TRINITY_DN66055_c1_g1_i1	Signal transduction mechanisms
TRINITY_DN66055_c2_g1_i1	RNA processing and modification
TRINITY_DN66055_c2_g1_i2	RNA processing and modification
TRINITY_DN66055_c2_g1_i3	RNA processing and modification
TRINITY_DN41761_c0_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN41761_c0_g1_i2	Posttranslational modification, protein turnover, chaperones
TRINITY_DN41761_c0_g1_i3	Posttranslational modification, protein turnover, chaperones
TRINITY_DN41732_c0_g1_i1	Energy production and conversion
TRINITY_DN41732_c0_g2_i1	Energy production and conversion
TRINITY_DN41732_c0_g3_i1	Energy production and conversion
TRINITY_DN41713_c0_g1_i1	Carbohydrate transport and metabolism
TRINITY_DN41713_c0_g2_i1	Carbohydrate transport and metabolism
TRINITY_DN15485_c0_g1_i1	Amino acid transport and metabolism
TRINITY_DN15485_c0_g2_i1	Amino acid transport and metabolism
TRINITY_DN66170_c0_g1_i1	RNA processing and modification
TRINITY_DN66170_c0_g1_i2	RNA processing and modification
TRINITY_DN66155_c4_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66189_c3_g1_i1	Carbohydrate transport and metabolism
TRINITY_DN66189_c3_g2_i1	Carbohydrate transport and metabolism
TRINITY_DN66189_c3_g3_i1	Carbohydrate transport and metabolism
TRINITY_DN66143_c3_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66143_c3_g1_i3	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66143_c3_g1_i4	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66100_c4_g1_i1	Extracellular structures
TRINITY_DN66100_c4_g1_i2	Extracellular structures
TRINITY_DN66100_c4_g1_i3	Extracellular structures
TRINITY_DN66100_c4_g1_i4	Extracellular structures
TRINITY_DN66100_c5_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66100_c5_g1_i2	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66197_c1_g1_i1	Energy production and conversion
TRINITY_DN66152_c0_g1_i1	Secondary metabolites biosynthesis, transport and catabolism
TRINITY_DN66103_c2_g1_i1	Carbohydrate transport and metabolism
TRINITY_DN66103_c2_g1_i2	Carbohydrate transport and metabolism
TRINITY_DN66103_c2_g1_i3	Carbohydrate transport and metabolism
TRINITY_DN66103_c2_g1_i4	Carbohydrate transport and metabolism
TRINITY_DN66103_c2_g1_i5	Carbohydrate transport and metabolism
TRINITY_DN66103_c2_g1_i6	Carbohydrate transport and metabolism
TRINITY_DN66159_c1_g1_i1	Signal transduction mechanisms
TRINITY_DN66168_c4_g1_i1	Signal transduction mechanisms
TRINITY_DN66168_c4_g1_i2	Signal transduction mechanisms
TRINITY_DN66146_c1_g1_i2	Signal transduction mechanisms
TRINITY_DN66146_c1_g1_i3	Signal transduction mechanisms
TRINITY_DN66146_c1_g1_i4	Signal transduction mechanisms
TRINITY_DN66114_c2_g1_i1	Inorganic ion transport and metabolism
TRINITY_DN66114_c2_g1_i2	Inorganic ion transport and metabolism
TRINITY_DN66149_c1_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66149_c1_g1_i2	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66108_c4_g1_i1	Signal transduction mechanisms
TRINITY_DN66108_c5_g1_i1	Energy production and conversion
TRINITY_DN66194_c0_g1_i1	Transcription
TRINITY_DN66194_c0_g1_i3	Transcription
TRINITY_DN66123_c3_g2_i1	Signal transduction mechanisms
TRINITY_DN66186_c0_g2_i1	Signal transduction mechanisms
TRINITY_DN66186_c0_g3_i1	Signal transduction mechanisms
TRINITY_DN66167_c1_g1_i1	Lipid transport and metabolism
TRINITY_DN66196_c0_g1_i1	Translation, ribosomal structure and biogenesis
TRINITY_DN66174_c9_g1_i1	Translation, ribosomal structure and biogenesis
TRINITY_DN66174_c9_g1_i2	Translation, ribosomal structure and biogenesis
TRINITY_DN66157_c2_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66139_c4_g1_i1	Lipid transport and metabolism
TRINITY_DN66139_c4_g1_i2	Lipid transport and metabolism
TRINITY_DN66118_c11_g1_i1	RNA processing and modification
TRINITY_DN66176_c1_g1_i1	Signal transduction mechanisms
TRINITY_DN66176_c1_g1_i2	Signal transduction mechanisms
TRINITY_DN66176_c1_g1_i3	Signal transduction mechanisms
TRINITY_DN66176_c1_g1_i4	Signal transduction mechanisms
TRINITY_DN66141_c3_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66141_c3_g1_i2	Posttranslational modification, protein turnover, chaperones
TRINITY_DN66124_c0_g1_i1	RNA processing and modification
TRINITY_DN66124_c0_g1_i2	RNA processing and modification
TRINITY_DN66115_c0_g1_i2	Signal transduction mechanisms
TRINITY_DN66115_c0_g1_i3	Signal transduction mechanisms
TRINITY_DN66115_c0_g1_i4	Signal transduction mechanisms
TRINITY_DN66172_c1_g1_i1	Cytoskeleton
TRINITY_DN66172_c1_g1_i2	Cytoskeleton
TRINITY_DN66156_c0_g1_i1	Signal transduction mechanisms
TRINITY_DN66148_c0_g1_i1	Signal transduction mechanisms
TRINITY_DN66199_c0_g1_i2	Signal transduction mechanisms
TRINITY_DN66199_c0_g1_i3	Signal transduction mechanisms
TRINITY_DN66199_c0_g1_i6	Signal transduction mechanisms
TRINITY_DN66199_c0_g1_i7	Signal transduction mechanisms
TRINITY_DN66142_c1_g1_i1	Lipid transport and metabolism
TRINITY_DN66142_c1_g1_i2	Lipid transport and metabolism
TRINITY_DN66142_c1_g1_i3	Lipid transport and metabolism
TRINITY_DN66142_c1_g1_i4	Lipid transport and metabolism
TRINITY_DN66187_c3_g1_i1	RNA processing and modification
TRINITY_DN66187_c3_g1_i3	RNA processing and modification
TRINITY_DN66182_c2_g1_i1	Amino acid transport and metabolism
TRINITY_DN66182_c2_g3_i1	Lipid transport and metabolism
