TRINITY_DN38132_c1_g1_i1	Translation, ribosomal structure and biogenesis
TRINITY_DN38187_c0_g1_i1	Chromatin structure and dynamics
TRINITY_DN13862_c0_g1_i1	Amino acid transport and metabolism
TRINITY_DN13861_c0_g2_i1	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN13848_c0_g1_i1	Cell wall/membrane/envelope biogenesis
TRINITY_DN64558_c0_g1_i1	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN64587_c2_g1_i1	Signal transduction mechanisms
TRINITY_DN64587_c2_g2_i1	Signal transduction mechanisms
TRINITY_DN64587_c2_g3_i1	Signal transduction mechanisms
TRINITY_DN64587_c2_g3_i2	Signal transduction mechanisms
TRINITY_DN64545_c1_g2_i4	Transcription
TRINITY_DN64552_c0_g1_i1	Inorganic ion transport and metabolism
TRINITY_DN64573_c0_g1_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN64573_c0_g1_i2	Posttranslational modification, protein turnover, chaperones
TRINITY_DN64573_c0_g1_i3	Posttranslational modification, protein turnover, chaperones
TRINITY_DN64573_c0_g1_i4	Posttranslational modification, protein turnover, chaperones
TRINITY_DN64516_c0_g2_i1	Replication, recombination and repair
TRINITY_DN64581_c7_g4_i1	Lipid transport and metabolism
TRINITY_DN64581_c7_g4_i2	Lipid transport and metabolism
TRINITY_DN64581_c7_g4_i3	Lipid transport and metabolism
TRINITY_DN64581_c9_g1_i1	RNA processing and modification
TRINITY_DN64567_c0_g1_i1	Transcription
TRINITY_DN64514_c0_g1_i1	Signal transduction mechanisms
TRINITY_DN64514_c1_g1_i1	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN64514_c1_g1_i2	Inorganic ion transport and metabolism
TRINITY_DN64514_c1_g1_i4	Inorganic ion transport and metabolism
TRINITY_DN64514_c1_g1_i5	Inorganic ion transport and metabolism
TRINITY_DN64514_c1_g1_i6	Inorganic ion transport and metabolism
TRINITY_DN64595_c0_g1_i1	Translation, ribosomal structure and biogenesis
TRINITY_DN64595_c0_g1_i3	Translation, ribosomal structure and biogenesis
TRINITY_DN64595_c0_g1_i4	Translation, ribosomal structure and biogenesis
TRINITY_DN64508_c1_g1_i1	Cytoskeleton
TRINITY_DN64508_c1_g1_i2	Cytoskeleton
TRINITY_DN64508_c1_g2_i1	Cytoskeleton
TRINITY_DN64526_c0_g1_i1	Signal transduction mechanisms
TRINITY_DN64526_c0_g1_i2	Cell wall/membrane/envelope biogenesis
TRINITY_DN64526_c0_g1_i3	Signal transduction mechanisms
TRINITY_DN64526_c0_g1_i4	Signal transduction mechanisms
TRINITY_DN64526_c0_g1_i5	Cell wall/membrane/envelope biogenesis
TRINITY_DN64588_c3_g1_i1	Cytoskeleton
TRINITY_DN64588_c3_g1_i2	Cytoskeleton
TRINITY_DN64524_c1_g1_i1	Inorganic ion transport and metabolism
TRINITY_DN64585_c2_g1_i1	Transcription
TRINITY_DN64585_c2_g1_i2	Transcription
TRINITY_DN64585_c2_g1_i3	Transcription
TRINITY_DN64585_c2_g1_i4	Transcription
TRINITY_DN64585_c4_g1_i1	Amino acid transport and metabolism
TRINITY_DN64585_c4_g1_i2	Amino acid transport and metabolism
TRINITY_DN64585_c4_g1_i3	Amino acid transport and metabolism
TRINITY_DN64585_c4_g1_i4	Amino acid transport and metabolism
TRINITY_DN64585_c5_g1_i2	Transcription
TRINITY_DN64585_c5_g1_i4	Transcription
TRINITY_DN64585_c5_g1_i5	Transcription
TRINITY_DN64585_c5_g1_i7	Transcription
TRINITY_DN64585_c5_g1_i9	Transcription
TRINITY_DN64547_c1_g1_i1	Signal transduction mechanisms
TRINITY_DN64547_c1_g1_i4	Signal transduction mechanisms
TRINITY_DN64520_c0_g1_i1	Energy production and conversion
TRINITY_DN64520_c0_g1_i2	Energy production and conversion
TRINITY_DN64520_c0_g1_i3	Energy production and conversion
TRINITY_DN64520_c0_g1_i4	Energy production and conversion
TRINITY_DN64520_c0_g1_i5	Energy production and conversion
